Hostname,SistemaOperacional,EspacoLivreAntesGB,EspacoLivreDepoisGB,EspacoRecuperadoGB,Data
SRV-0910,Windows Server 2019,24.64,25.71,1.07,2025-03-02
SRV-0911,Windows Server 2019,31.85,32.48,0.63,2025-03-02
SRV-0912,Windows Server 2016,17.68,22.12,4.44,2025-03-02
SRV-0913,Windows Server 2019,21.12,23.85,2.73,2025-03-02
SRV-0914,Windows Server 2019,17.58,18.46,0.88,2025-03-02
SRV-0915,Windows Server 2019,26.05,30.53,4.48,2025-03-02
SRV-0916,Windows Server 2019,46.49,46.64,0.15,2025-03-02
SRV-0917,Windows Server 2022,6.02,8.66,2.64,2025-03-02
SRV-0918,Windows Server 2016,47.03,51.94,4.91,2025-03-02
SRV-0919,Windows Server 2019,29.6,30.7,1.1,2025-03-02
SRV-0920,Windows Server 2016,48.63,53.08,4.45,2025-03-02
SRV-0921,Windows Server 2019,22.89,25.59,2.7,2025-03-02
SRV-0922,Windows Server 2016,36.86,37.47,0.61,2025-03-02
SRV-0923,Windows Server 2019,47.58,49.67,2.09,2025-03-02
SRV-0924,Windows Server 2022,10.69,11.45,0.76,2025-03-02
SRV-0925,Windows Server 2022,26.49,30.3,3.81,2025-03-02
SRV-0926,Windows Server 2022,14.41,15.04,0.63,2025-03-02
SRV-0927,Windows Server 2019,44.56,45.22,0.66,2025-03-02
SRV-0928,Windows Server 2022,8.96,13.61,4.65,2025-03-02
SRV-0929,Windows Server 2019,23.24,27.81,4.57,2025-03-02
SRV-0930,Windows Server 2022,22.0,23.79,1.79,2025-03-02
SRV-0931,Windows Server 2022,45.92,47.99,2.07,2025-03-02
SRV-0932,Windows Server 2019,36.0,36.66,0.66,2025-03-02
SRV-0933,Windows Server 2016,36.92,37.92,1.0,2025-03-02
SRV-0934,Windows Server 2019,42.38,43.29,0.91,2025-03-02
SRV-0935,Windows Server 2022,32.06,33.69,1.63,2025-03-02
SRV-0936,Windows Server 2019,10.62,10.8,0.18,2025-03-02
SRV-0937,Windows Server 2022,40.77,45.69,4.92,2025-03-02
SRV-0938,Windows Server 2022,44.21,44.46,0.25,2025-03-02
SRV-0939,Windows Server 2022,15.87,19.02,3.15,2025-03-02
SRV-0940,Windows Server 2016,10.53,10.73,0.2,2025-03-02
SRV-0941,Windows Server 2019,30.78,32.18,1.4,2025-03-02
SRV-0942,Windows Server 2019,23.82,25.85,2.03,2025-03-02
SRV-0943,Windows Server 2022,33.46,34.71,1.25,2025-03-02
SRV-0944,Windows Server 2022,29.97,34.17,4.2,2025-03-02
SRV-0945,Windows Server 2022,46.91,50.02,3.11,2025-03-02
SRV-0946,Windows Server 2019,22.75,26.49,3.74,2025-03-02
SRV-0947,Windows Server 2019,34.91,38.13,3.22,2025-03-02
SRV-0948,Windows Server 2016,14.31,19.07,4.76,2025-03-02
SRV-0949,Windows Server 2016,6.48,7.19,0.71,2025-03-02
SRV-0950,Windows Server 2022,18.99,20.39,1.4,2025-03-02
SRV-0951,Windows Server 2016,48.5,53.14,4.64,2025-03-02
SRV-0952,Windows Server 2019,9.76,13.96,4.2,2025-03-02
SRV-0953,Windows Server 2019,39.76,44.5,4.74,2025-03-02
SRV-0954,Windows Server 2016,18.75,21.66,2.91,2025-03-02
SRV-0955,Windows Server 2016,5.63,6.59,0.96,2025-03-02
SRV-0956,Windows Server 2016,13.57,15.66,2.09,2025-03-02
SRV-0957,Windows Server 2019,45.05,47.49,2.44,2025-03-02
SRV-0958,Windows Server 2022,31.34,31.74,0.4,2025-03-02
SRV-0959,Windows Server 2019,16.81,21.77,4.96,2025-03-02
SRV-0960,Windows Server 2016,47.8,50.85,3.05,2025-03-02
SRV-0961,Windows Server 2019,19.86,21.97,2.11,2025-03-02
SRV-0962,Windows Server 2019,5.42,5.68,0.26,2025-03-02
SRV-0963,Windows Server 2016,15.15,19.1,3.95,2025-03-02
SRV-0964,Windows Server 2022,38.32,42.56,4.24,2025-03-02
SRV-0965,Windows Server 2019,37.25,41.55,4.3,2025-03-02
SRV-0966,Windows Server 2019,10.84,15.81,4.97,2025-03-02
SRV-0967,Windows Server 2022,42.51,43.47,0.96,2025-03-02
SRV-0968,Windows Server 2022,29.2,32.31,3.11,2025-03-02
SRV-0969,Windows Server 2019,20.27,21.78,1.51,2025-03-02
SRV-0970,Windows Server 2022,30.61,34.36,3.75,2025-03-02
SRV-0971,Windows Server 2022,6.43,10.69,4.26,2025-03-02
SRV-0972,Windows Server 2019,26.11,30.42,4.31,2025-03-02
SRV-0973,Windows Server 2022,49.95,54.25,4.3,2025-03-02
SRV-0974,Windows Server 2022,38.52,39.37,0.85,2025-03-02
SRV-0975,Windows Server 2019,38.71,39.39,0.68,2025-03-02
SRV-0976,Windows Server 2022,43.06,44.08,1.02,2025-03-02
SRV-0977,Windows Server 2022,6.07,8.21,2.14,2025-03-02
SRV-0978,Windows Server 2019,11.97,15.09,3.12,2025-03-02
SRV-0979,Windows Server 2019,33.41,35.9,2.49,2025-03-02
SRV-0980,Windows Server 2016,7.9,11.96,4.06,2025-03-02
SRV-0981,Windows Server 2016,21.43,24.73,3.3,2025-03-02
SRV-0982,Windows Server 2016,22.74,25.92,3.18,2025-03-02
SRV-0983,Windows Server 2019,6.03,10.57,4.54,2025-03-02
SRV-0984,Windows Server 2016,47.92,50.27,2.35,2025-03-02
SRV-0985,Windows Server 2022,31.66,36.44,4.78,2025-03-02
SRV-0986,Windows Server 2019,10.32,13.36,3.04,2025-03-02
SRV-0987,Windows Server 2019,43.77,46.76,2.99,2025-03-02
SRV-0988,Windows Server 2022,21.39,24.86,3.47,2025-03-02
SRV-0989,Windows Server 2022,28.9,33.71,4.81,2025-03-02
SRV-0990,Windows Server 2019,49.26,53.03,3.77,2025-03-02
SRV-0991,Windows Server 2019,32.94,37.27,4.33,2025-03-02
SRV-0992,Windows Server 2022,37.99,42.41,4.42,2025-03-02
SRV-0993,Windows Server 2022,24.51,26.83,2.32,2025-03-02
SRV-0994,Windows Server 2022,27.55,27.91,0.36,2025-03-02
SRV-0995,Windows Server 2016,18.38,22.87,4.49,2025-03-02
SRV-0996,Windows Server 2019,15.84,18.39,2.55,2025-03-02
SRV-0997,Windows Server 2016,14.28,18.3,4.02,2025-03-02
SRV-0998,Windows Server 2019,25.57,29.0,3.43,2025-03-02
SRV-0999,Windows Server 2022,33.6,37.0,3.4,2025-03-02
SRV-1000,Windows Server 2019,36.6,40.39,3.79,2025-03-02
SRV-0001,Windows Server 2019,5.71,6.38,0.67,2025-03-09
SRV-0002,Windows Server 2019,11.96,12.5,0.54,2025-03-09
SRV-0003,Windows Server 2019,35.24,36.6,1.36,2025-03-09
SRV-0004,Windows Server 2019,47.02,49.31,2.29,2025-03-09
SRV-0005,Windows Server 2016,5.09,7.81,2.72,2025-03-09
SRV-0006,Windows Server 2016,13.4,14.05,0.65,2025-03-09
SRV-0007,Windows Server 2019,19.36,22.09,2.73,2025-03-09
SRV-0008,Windows Server 2019,18.7,22.04,3.34,2025-03-09
SRV-0009,Windows Server 2019,30.81,35.69,4.88,2025-03-09
SRV-0010,Windows Server 2019,45.72,49.07,3.35,2025-03-09
SRV-0011,Windows Server 2019,35.89,37.88,1.99,2025-03-09
SRV-0012,Windows Server 2022,26.66,28.67,2.01,2025-03-09
SRV-0013,Windows Server 2019,33.81,34.52,0.71,2025-03-09
SRV-0014,Windows Server 2022,20.87,25.55,4.68,2025-03-09
SRV-0015,Windows Server 2019,26.18,28.66,2.48,2025-03-09
SRV-0016,Windows Server 2022,10.46,14.84,4.38,2025-03-09
SRV-0017,Windows Server 2019,40.68,41.68,1.0,2025-03-09
SRV-0018,Windows Server 2019,9.57,10.95,1.38,2025-03-09
SRV-0019,Windows Server 2022,7.51,11.68,4.17,2025-03-09
SRV-0020,Windows Server 2019,9.76,11.8,2.04,2025-03-09
SRV-0021,Windows Server 2019,5.87,6.35,0.48,2025-03-09
SRV-0022,Windows Server 2022,32.95,35.66,2.71,2025-03-09
SRV-0023,Windows Server 2022,30.18,33.75,3.57,2025-03-09
SRV-0024,Windows Server 2019,14.68,17.94,3.26,2025-03-09
SRV-0025,Windows Server 2022,16.65,21.46,4.81,2025-03-09
SRV-0026,Windows Server 2022,47.06,49.79,2.73,2025-03-09
SRV-0027,Windows Server 2022,6.07,8.2,2.13,2025-03-09
SRV-0028,Windows Server 2022,40.92,43.89,2.97,2025-03-09
SRV-0029,Windows Server 2016,36.42,39.63,3.21,2025-03-09
SRV-0030,Windows Server 2019,27.95,31.72,3.77,2025-03-09
SRV-0031,Windows Server 2022,33.58,37.96,4.38,2025-03-09
SRV-0032,Windows Server 2022,45.3,46.94,1.64,2025-03-09
SRV-0033,Windows Server 2016,15.51,18.4,2.89,2025-03-09
SRV-0034,Windows Server 2019,31.72,35.7,3.98,2025-03-09
SRV-0035,Windows Server 2019,27.15,29.55,2.4,2025-03-09
SRV-0036,Windows Server 2019,7.54,8.28,0.74,2025-03-09
SRV-0037,Windows Server 2016,31.84,36.78,4.94,2025-03-09
SRV-0038,Windows Server 2016,33.52,36.92,3.4,2025-03-09
SRV-0039,Windows Server 2019,36.18,40.57,4.39,2025-03-09
SRV-0040,Windows Server 2019,49.13,50.9,1.77,2025-03-09
SRV-0041,Windows Server 2019,17.64,21.46,3.82,2025-03-09
SRV-0042,Windows Server 2016,37.22,37.96,0.74,2025-03-09
SRV-0043,Windows Server 2016,32.28,34.33,2.05,2025-03-09
SRV-0044,Windows Server 2016,11.91,14.02,2.11,2025-03-09
SRV-0045,Windows Server 2019,30.88,32.36,1.48,2025-03-09
SRV-0046,Windows Server 2022,43.68,47.42,3.74,2025-03-09
SRV-0047,Windows Server 2019,38.59,42.37,3.78,2025-03-09
SRV-0048,Windows Server 2019,45.98,49.13,3.15,2025-03-09
SRV-0049,Windows Server 2019,46.43,50.46,4.03,2025-03-09
SRV-0050,Windows Server 2016,6.64,10.52,3.88,2025-03-09
SRV-0051,Windows Server 2022,43.62,48.11,4.49,2025-03-09
SRV-0052,Windows Server 2016,42.11,42.91,0.8,2025-03-09
SRV-0053,Windows Server 2019,19.57,24.31,4.74,2025-03-09
SRV-0054,Windows Server 2016,7.09,11.2,4.11,2025-03-09
SRV-0055,Windows Server 2016,45.48,50.22,4.74,2025-03-09
SRV-0056,Windows Server 2022,45.43,46.99,1.56,2025-03-09
SRV-0057,Windows Server 2022,9.06,10.27,1.21,2025-03-09
SRV-0058,Windows Server 2019,43.42,44.29,0.87,2025-03-09
SRV-0059,Windows Server 2019,32.12,34.33,2.21,2025-03-09
SRV-0060,Windows Server 2019,17.49,19.0,1.51,2025-03-09
SRV-0061,Windows Server 2016,20.39,25.17,4.78,2025-03-09
SRV-0062,Windows Server 2022,36.28,40.94,4.66,2025-03-09
SRV-0063,Windows Server 2022,31.85,34.6,2.75,2025-03-09
SRV-0064,Windows Server 2019,36.36,39.77,3.41,2025-03-09
SRV-0065,Windows Server 2016,35.48,36.13,0.65,2025-03-09
SRV-0066,Windows Server 2019,28.37,32.76,4.39,2025-03-09
SRV-0067,Windows Server 2016,24.11,28.12,4.01,2025-03-09
SRV-0068,Windows Server 2019,34.29,37.74,3.45,2025-03-09
SRV-0069,Windows Server 2019,36.59,37.31,0.72,2025-03-09
SRV-0070,Windows Server 2019,49.39,49.59,0.2,2025-03-09
SRV-0071,Windows Server 2016,27.04,28.71,1.67,2025-03-09
SRV-0072,Windows Server 2022,8.18,9.94,1.76,2025-03-09
SRV-0073,Windows Server 2022,31.81,34.88,3.07,2025-03-09
SRV-0074,Windows Server 2019,22.63,26.23,3.6,2025-03-09
SRV-0075,Windows Server 2016,46.17,49.33,3.16,2025-03-09
SRV-0076,Windows Server 2016,10.18,13.38,3.2,2025-03-09
SRV-0077,Windows Server 2019,20.11,24.12,4.01,2025-03-09
SRV-0078,Windows Server 2019,49.58,51.76,2.18,2025-03-09
SRV-0079,Windows Server 2019,28.29,31.29,3.0,2025-03-09
SRV-0080,Windows Server 2022,43.36,43.52,0.16,2025-03-09
SRV-0081,Windows Server 2022,23.26,28.22,4.96,2025-03-09
SRV-0082,Windows Server 2022,26.26,27.33,1.07,2025-03-09
SRV-0083,Windows Server 2019,35.71,39.13,3.42,2025-03-09
SRV-0084,Windows Server 2019,7.9,8.89,0.99,2025-03-09
SRV-0085,Windows Server 2016,9.67,12.37,2.7,2025-03-09
SRV-0086,Windows Server 2016,40.65,45.1,4.45,2025-03-09
SRV-0087,Windows Server 2022,7.94,9.82,1.88,2025-03-09
SRV-0088,Windows Server 2016,33.72,38.5,4.78,2025-03-09
SRV-0089,Windows Server 2022,26.43,26.7,0.27,2025-03-09
SRV-0090,Windows Server 2019,24.68,29.66,4.98,2025-03-09
SRV-0091,Windows Server 2019,17.2,20.35,3.15,2025-03-09
SRV-0092,Windows Server 2019,48.35,50.25,1.9,2025-03-09
SRV-0093,Windows Server 2022,33.05,36.94,3.89,2025-03-09
SRV-0094,Windows Server 2019,7.46,8.74,1.28,2025-03-09
SRV-0095,Windows Server 2019,15.56,19.94,4.38,2025-03-09
SRV-0096,Windows Server 2019,32.05,36.66,4.61,2025-03-09
SRV-0097,Windows Server 2019,46.99,51.42,4.43,2025-03-09
SRV-0098,Windows Server 2019,10.97,14.63,3.66,2025-03-09
SRV-0099,Windows Server 2016,7.2,9.81,2.61,2025-03-09
SRV-0100,Windows Server 2019,21.54,22.37,0.83,2025-03-09
SRV-0101,Windows Server 2016,40.72,41.0,0.28,2025-03-09
SRV-0102,Windows Server 2022,36.84,39.25,2.41,2025-03-09
SRV-0103,Windows Server 2016,6.78,9.3,2.52,2025-03-09
SRV-0104,Windows Server 2016,38.95,43.39,4.44,2025-03-09
SRV-0105,Windows Server 2022,47.28,51.55,4.27,2025-03-09
SRV-0106,Windows Server 2022,35.16,39.51,4.35,2025-03-09
SRV-0107,Windows Server 2022,19.84,23.06,3.22,2025-03-09
SRV-0108,Windows Server 2016,11.73,14.35,2.62,2025-03-09
SRV-0109,Windows Server 2019,41.2,42.9,1.7,2025-03-09
SRV-0110,Windows Server 2022,21.24,23.01,1.77,2025-03-09
SRV-0111,Windows Server 2022,37.78,41.97,4.19,2025-03-09
SRV-0112,Windows Server 2022,47.52,50.2,2.68,2025-03-09
SRV-0113,Windows Server 2019,36.19,37.84,1.65,2025-03-09
SRV-0114,Windows Server 2016,45.86,50.59,4.73,2025-03-09
SRV-0115,Windows Server 2022,10.28,13.82,3.54,2025-03-09
SRV-0116,Windows Server 2019,41.1,43.21,2.11,2025-03-09
SRV-0117,Windows Server 2019,48.98,49.98,1.0,2025-03-09
SRV-0118,Windows Server 2019,39.28,39.58,0.3,2025-03-09
SRV-0119,Windows Server 2016,8.82,11.8,2.98,2025-03-09
SRV-0120,Windows Server 2016,36.89,41.03,4.14,2025-03-09
SRV-0121,Windows Server 2019,31.0,33.76,2.76,2025-03-09
SRV-0122,Windows Server 2019,5.5,7.97,2.47,2025-03-09
SRV-0123,Windows Server 2019,20.04,21.09,1.05,2025-03-09
SRV-0124,Windows Server 2019,36.56,38.1,1.54,2025-03-09
SRV-0125,Windows Server 2022,20.57,23.35,2.78,2025-03-09
SRV-0126,Windows Server 2016,6.09,9.64,3.55,2025-03-09
SRV-0127,Windows Server 2022,17.06,19.48,2.42,2025-03-09
SRV-0128,Windows Server 2019,49.6,52.64,3.04,2025-03-09
SRV-0129,Windows Server 2019,38.05,41.0,2.95,2025-03-09
SRV-0130,Windows Server 2019,37.91,42.13,4.22,2025-03-09
SRV-0131,Windows Server 2022,28.27,28.41,0.14,2025-03-09
SRV-0132,Windows Server 2019,7.9,12.36,4.46,2025-03-09
SRV-0133,Windows Server 2019,18.19,19.25,1.06,2025-03-09
SRV-0134,Windows Server 2019,45.69,50.51,4.82,2025-03-09
SRV-0135,Windows Server 2022,35.77,37.97,2.2,2025-03-09
SRV-0136,Windows Server 2019,31.48,36.3,4.82,2025-03-09
SRV-0137,Windows Server 2022,22.54,27.11,4.57,2025-03-09
SRV-0138,Windows Server 2022,44.92,46.89,1.97,2025-03-09
SRV-0139,Windows Server 2022,38.26,39.42,1.16,2025-03-09
SRV-0140,Windows Server 2022,41.76,42.9,1.14,2025-03-09
SRV-0141,Windows Server 2016,44.91,47.55,2.64,2025-03-09
SRV-0142,Windows Server 2019,12.29,14.7,2.41,2025-03-09
SRV-0143,Windows Server 2019,34.47,38.95,4.48,2025-03-09
SRV-0144,Windows Server 2019,14.24,17.66,3.42,2025-03-09
SRV-0145,Windows Server 2022,16.27,17.48,1.21,2025-03-09
SRV-0146,Windows Server 2022,40.17,44.52,4.35,2025-03-09
SRV-0147,Windows Server 2019,16.86,18.67,1.81,2025-03-09
SRV-0148,Windows Server 2019,28.26,29.52,1.26,2025-03-09
SRV-0149,Windows Server 2016,16.47,16.76,0.29,2025-03-09
SRV-0150,Windows Server 2019,5.48,6.9,1.42,2025-03-09
SRV-0151,Windows Server 2019,30.46,31.18,0.72,2025-03-09
SRV-0152,Windows Server 2022,45.6,49.3,3.7,2025-03-09
SRV-0153,Windows Server 2019,32.54,32.81,0.27,2025-03-09
SRV-0154,Windows Server 2022,28.76,29.07,0.31,2025-03-09
SRV-0155,Windows Server 2022,9.52,11.28,1.76,2025-03-09
SRV-0156,Windows Server 2016,43.6,45.19,1.59,2025-03-09
SRV-0157,Windows Server 2022,15.9,18.4,2.5,2025-03-09
SRV-0158,Windows Server 2016,21.86,25.35,3.49,2025-03-09
SRV-0159,Windows Server 2016,16.57,20.74,4.17,2025-03-09
SRV-0160,Windows Server 2019,47.07,47.78,0.71,2025-03-09
SRV-0161,Windows Server 2016,25.56,28.65,3.09,2025-03-09
SRV-0162,Windows Server 2019,25.1,25.91,0.81,2025-03-09
SRV-0163,Windows Server 2019,12.31,13.13,0.82,2025-03-09
SRV-0164,Windows Server 2019,23.23,25.58,2.35,2025-03-09
SRV-0165,Windows Server 2019,16.19,20.27,4.08,2025-03-09
SRV-0166,Windows Server 2016,19.55,20.31,0.76,2025-03-09
SRV-0167,Windows Server 2019,43.23,44.4,1.17,2025-03-09
SRV-0168,Windows Server 2022,40.04,41.92,1.88,2025-03-09
SRV-0169,Windows Server 2019,8.93,10.73,1.8,2025-03-09
SRV-0170,Windows Server 2022,28.5,31.21,2.71,2025-03-09
SRV-0171,Windows Server 2019,43.08,45.17,2.09,2025-03-09
SRV-0172,Windows Server 2016,32.21,36.08,3.87,2025-03-09
SRV-0173,Windows Server 2019,42.06,45.65,3.59,2025-03-09
SRV-0174,Windows Server 2019,48.52,49.18,0.66,2025-03-09
SRV-0175,Windows Server 2022,35.5,40.35,4.85,2025-03-09
SRV-0176,Windows Server 2019,20.24,22.78,2.54,2025-03-09
SRV-0177,Windows Server 2019,11.08,15.19,4.11,2025-03-09
SRV-0178,Windows Server 2022,5.16,6.42,1.26,2025-03-09
SRV-0179,Windows Server 2019,37.59,38.88,1.29,2025-03-09
SRV-0180,Windows Server 2016,12.29,16.45,4.16,2025-03-09
SRV-0181,Windows Server 2019,29.16,32.83,3.67,2025-03-09
SRV-0182,Windows Server 2019,45.27,48.73,3.46,2025-03-09
SRV-0183,Windows Server 2016,21.02,22.21,1.19,2025-03-09
SRV-0184,Windows Server 2019,9.38,11.49,2.11,2025-03-09
SRV-0185,Windows Server 2022,12.29,13.26,0.97,2025-03-09
SRV-0186,Windows Server 2022,44.23,45.34,1.11,2025-03-09
SRV-0187,Windows Server 2019,22.9,24.73,1.83,2025-03-09
SRV-0188,Windows Server 2019,44.19,44.88,0.69,2025-03-09
SRV-0189,Windows Server 2019,43.61,44.04,0.43,2025-03-09
SRV-0190,Windows Server 2019,41.53,44.62,3.09,2025-03-09
SRV-0191,Windows Server 2019,24.01,27.41,3.4,2025-03-09
SRV-0192,Windows Server 2019,21.31,22.98,1.67,2025-03-09
SRV-0193,Windows Server 2019,41.53,44.81,3.28,2025-03-09
SRV-0194,Windows Server 2022,15.74,16.36,0.62,2025-03-09
SRV-0195,Windows Server 2022,7.73,12.08,4.35,2025-03-09
SRV-0196,Windows Server 2022,8.5,8.7,0.2,2025-03-09
SRV-0197,Windows Server 2016,15.67,16.35,0.68,2025-03-09
SRV-0198,Windows Server 2022,7.95,10.65,2.7,2025-03-09
SRV-0199,Windows Server 2022,39.44,41.98,2.54,2025-03-09
SRV-0200,Windows Server 2022,48.5,49.69,1.19,2025-03-09
SRV-0201,Windows Server 2016,45.12,46.34,1.22,2025-03-09
SRV-0202,Windows Server 2016,31.35,32.53,1.18,2025-03-09
SRV-0203,Windows Server 2016,46.28,46.74,0.46,2025-03-09
SRV-0204,Windows Server 2019,6.56,9.31,2.75,2025-03-09
SRV-0205,Windows Server 2022,28.81,33.06,4.25,2025-03-09
SRV-0206,Windows Server 2019,27.97,31.41,3.44,2025-03-09
SRV-0207,Windows Server 2016,44.77,48.48,3.71,2025-03-09
SRV-0208,Windows Server 2019,49.91,51.84,1.93,2025-03-09
SRV-0209,Windows Server 2016,21.3,22.33,1.03,2025-03-09
SRV-0210,Windows Server 2022,28.51,31.84,3.33,2025-03-09
SRV-0211,Windows Server 2022,15.36,16.56,1.2,2025-03-09
SRV-0212,Windows Server 2016,15.51,16.61,1.1,2025-03-09
SRV-0213,Windows Server 2022,47.94,49.36,1.42,2025-03-09
SRV-0214,Windows Server 2022,15.6,16.59,0.99,2025-03-09
SRV-0215,Windows Server 2019,20.44,22.3,1.86,2025-03-09
SRV-0216,Windows Server 2016,38.52,39.5,0.98,2025-03-09
SRV-0217,Windows Server 2022,18.04,18.46,0.42,2025-03-09
SRV-0218,Windows Server 2019,37.24,41.25,4.01,2025-03-09
SRV-0219,Windows Server 2019,12.68,15.51,2.83,2025-03-09
SRV-0220,Windows Server 2019,6.56,9.44,2.88,2025-03-09
SRV-0221,Windows Server 2019,46.81,47.53,0.72,2025-03-09
SRV-0222,Windows Server 2019,21.81,22.92,1.11,2025-03-09
SRV-0223,Windows Server 2019,28.27,30.23,1.96,2025-03-09
SRV-0224,Windows Server 2019,33.18,37.71,4.53,2025-03-09
SRV-0225,Windows Server 2019,7.0,9.4,2.4,2025-03-09
SRV-0226,Windows Server 2016,39.21,39.54,0.33,2025-03-09
SRV-0227,Windows Server 2022,14.96,18.19,3.23,2025-03-09
SRV-0228,Windows Server 2016,32.02,33.68,1.66,2025-03-09
SRV-0229,Windows Server 2022,39.12,43.87,4.75,2025-03-09
SRV-0230,Windows Server 2022,14.91,16.48,1.57,2025-03-09
SRV-0231,Windows Server 2016,8.01,12.51,4.5,2025-03-09
SRV-0232,Windows Server 2022,32.68,34.86,2.18,2025-03-09
SRV-0233,Windows Server 2022,43.76,46.65,2.89,2025-03-09
SRV-0234,Windows Server 2019,42.17,43.62,1.45,2025-03-09
SRV-0235,Windows Server 2019,15.77,17.04,1.27,2025-03-09
SRV-0236,Windows Server 2019,31.67,32.7,1.03,2025-03-09
SRV-0237,Windows Server 2016,37.76,42.17,4.41,2025-03-09
SRV-0238,Windows Server 2019,17.67,18.26,0.59,2025-03-09
SRV-0239,Windows Server 2019,46.6,48.28,1.68,2025-03-09
SRV-0240,Windows Server 2019,13.48,13.72,0.24,2025-03-09
SRV-0241,Windows Server 2019,36.13,38.76,2.63,2025-03-09
SRV-0242,Windows Server 2019,43.77,44.09,0.32,2025-03-09
SRV-0243,Windows Server 2022,24.85,25.0,0.15,2025-03-09
SRV-0244,Windows Server 2016,39.98,40.4,0.42,2025-03-09
SRV-0245,Windows Server 2019,31.13,32.09,0.96,2025-03-09
SRV-0246,Windows Server 2016,28.54,29.7,1.16,2025-03-09
SRV-0247,Windows Server 2019,46.53,51.17,4.64,2025-03-09
SRV-0248,Windows Server 2019,34.98,36.92,1.94,2025-03-09
SRV-0249,Windows Server 2019,44.24,45.69,1.45,2025-03-09
SRV-0250,Windows Server 2022,7.28,9.23,1.95,2025-03-09
SRV-0251,Windows Server 2016,23.6,25.85,2.25,2025-03-09
SRV-0252,Windows Server 2016,16.69,21.68,4.99,2025-03-09
SRV-0253,Windows Server 2022,27.8,29.27,1.47,2025-03-09
SRV-0254,Windows Server 2022,9.49,10.22,0.73,2025-03-09
SRV-0255,Windows Server 2022,36.39,37.26,0.87,2025-03-09
SRV-0256,Windows Server 2019,30.68,30.81,0.13,2025-03-09
SRV-0257,Windows Server 2019,22.79,24.85,2.06,2025-03-09
SRV-0258,Windows Server 2019,21.38,24.6,3.22,2025-03-09
SRV-0259,Windows Server 2022,13.69,14.81,1.12,2025-03-09
SRV-0260,Windows Server 2019,11.34,12.61,1.27,2025-03-09
SRV-0261,Windows Server 2022,8.36,12.2,3.84,2025-03-09
SRV-0262,Windows Server 2019,47.82,50.72,2.9,2025-03-09
SRV-0263,Windows Server 2019,43.25,43.51,0.26,2025-03-09
SRV-0264,Windows Server 2022,12.93,14.78,1.85,2025-03-09
SRV-0265,Windows Server 2019,10.45,11.2,0.75,2025-03-09
SRV-0266,Windows Server 2019,44.39,49.04,4.65,2025-03-09
SRV-0267,Windows Server 2016,32.25,37.02,4.77,2025-03-09
SRV-0268,Windows Server 2019,25.84,30.82,4.98,2025-03-09
SRV-0269,Windows Server 2019,28.9,29.52,0.62,2025-03-09
SRV-0270,Windows Server 2019,26.86,30.4,3.54,2025-03-09
SRV-0271,Windows Server 2016,47.11,48.98,1.87,2025-03-09
SRV-0272,Windows Server 2022,36.81,38.75,1.94,2025-03-09
SRV-0273,Windows Server 2022,19.09,20.35,1.26,2025-03-09
SRV-0274,Windows Server 2019,5.03,5.74,0.71,2025-03-09
SRV-0275,Windows Server 2019,45.56,50.34,4.78,2025-03-09
SRV-0276,Windows Server 2016,19.91,20.39,0.48,2025-03-09
SRV-0277,Windows Server 2016,42.42,47.04,4.62,2025-03-09
SRV-0278,Windows Server 2022,9.9,12.48,2.58,2025-03-09
SRV-0279,Windows Server 2019,15.64,16.52,0.88,2025-03-09
SRV-0280,Windows Server 2022,13.43,15.03,1.6,2025-03-09
SRV-0281,Windows Server 2022,5.62,7.75,2.13,2025-03-09
SRV-0282,Windows Server 2022,42.21,46.73,4.52,2025-03-09
SRV-0283,Windows Server 2019,23.29,27.71,4.42,2025-03-09
SRV-0284,Windows Server 2019,21.41,22.78,1.37,2025-03-09
SRV-0285,Windows Server 2019,30.08,30.7,0.62,2025-03-09
SRV-0286,Windows Server 2022,21.83,26.21,4.38,2025-03-09
SRV-0287,Windows Server 2019,28.52,29.58,1.06,2025-03-09
SRV-0288,Windows Server 2022,27.56,31.63,4.07,2025-03-09
SRV-0289,Windows Server 2022,9.72,11.09,1.37,2025-03-09
SRV-0290,Windows Server 2016,33.56,35.43,1.87,2025-03-09
SRV-0291,Windows Server 2019,10.24,13.74,3.5,2025-03-09
SRV-0292,Windows Server 2019,37.77,40.19,2.42,2025-03-09
SRV-0293,Windows Server 2022,31.46,36.11,4.65,2025-03-09
SRV-0294,Windows Server 2016,40.94,43.14,2.2,2025-03-09
SRV-0295,Windows Server 2019,5.36,8.27,2.91,2025-03-09
SRV-0296,Windows Server 2019,28.62,32.65,4.03,2025-03-09
SRV-0297,Windows Server 2016,49.78,52.6,2.82,2025-03-09
SRV-0298,Windows Server 2019,19.19,24.18,4.99,2025-03-09
SRV-0299,Windows Server 2019,43.8,44.12,0.32,2025-03-09
SRV-0300,Windows Server 2016,43.62,47.71,4.09,2025-03-09
SRV-0301,Windows Server 2016,20.3,20.7,0.4,2025-03-09
SRV-0302,Windows Server 2019,37.87,40.05,2.18,2025-03-09
SRV-0303,Windows Server 2016,39.19,39.78,0.59,2025-03-09
SRV-0304,Windows Server 2016,12.85,13.33,0.48,2025-03-09
SRV-0305,Windows Server 2019,47.51,48.76,1.25,2025-03-09
SRV-0306,Windows Server 2022,35.68,40.32,4.64,2025-03-09
SRV-0307,Windows Server 2022,6.45,6.94,0.49,2025-03-09
